指标名称,中国:北京:中原领先指数,中国:北京:二手房出售挂牌价指数,中国:北京:二手房出售挂牌量指数,中国:北京:中原报价指数,中国:北京:成交面积(签约):二手房:住宅,中国:北京:成交套数(签约):二手房:住宅,中国:北京:成交套均面积(签约):二手房:住宅,中国:北京:二手住宅租金指数,中国:北京:租金回报率:二手住宅,中国:北京:可售面积:商品房:住宅,中国:北京:批准预售面积:商品房:住宅,中国:北京:供应土地规划建筑面积:住宅类用地,中国:北京:成交土地规划建筑面积:住宅类用地,中国:上海:中原领先指数,中国:上海:二手房出售挂牌价指数,中国:上海:二手房出售挂牌量指数,中国:上海:中原报价指数,中国:上海:成交面积:二手房,中国:上海:成交套数:二手房,中国:上海:成交套均面积:二手房,中国:上海:二手住宅租金指数,中国:上海:租金回报率:二手住宅,中国:上海:可售面积:商品房:住宅,中国:上海:批准预售面积:商品房:住宅,中国:上海:供应土地规划建筑面积:住宅类用地,中国:上海:成交土地规划建筑面积:住宅类用地,中国:深圳:中原领先指数,中国:深圳:二手房出售挂牌价指数,中国:深圳:二手房出售挂牌量指数,中国:深圳:中原报价指数,中国:深圳:成交面积:二手房:住宅,中国:深圳:成交套数:二手房:住宅,中国:深圳:成交套均面积:二手房:住宅,中国:深圳:二手住宅租金指数,中国:深圳:租金回报率:二手住宅,中国:深圳:可售面积:商品房:住宅,中国:深圳:批准预售面积:商品房:住宅,中国:深圳:供应土地规划建筑面积:住宅类用地,中国:深圳:成交土地规划建筑面积:住宅类用地,中国:广州:中原领先指数,中国:广州:二手房出售挂牌价指数,中国:广州:二手房出售挂牌量指数,中国:广州:中原报价指数,中国:广州:成交面积:二手房:住宅,中国:广州:成交套数:二手房:住宅,中国:广州:成交套均面积::二手房:住宅,中国:广州:二手住宅租金指数,中国:广州:租金回报率:二手住宅,中国:广州:可售面积:商品房:住宅,中国:广州:批准预售面积:商品房:住宅,中国:广州:供应土地规划建筑面积:住宅类用地,中国:广州:成交土地规划建筑面积:住宅类用地,上海:城镇常住居民人均可支配收入:累计同比,广东:深圳:居民人均可支配收入:同比,广东:广州:城镇居民人均可支配收入:累计同比,北京:城镇居民人均可支配收入:累计同比,中国:个人住房公积金贷款利率:5年以上,中国:金融机构人民币贷款加权平均利率:个人住房贷款,中国:消费者信心指数:就业,中国:消费者信心指数:收入,中国:消费者信心指数:预期,中国:CPI:当月同比,中国:CPI:环比,中国:CPI:居住:租赁房房租:当月同比,中国:CPI:居住:租赁房房租:环比
频率,月,周,月,周,周,周,周,月,月,日,月,月,月,月,周,月,周,周,周,周,月,月,日,月,月,月,月,周,月,周,周,周,周,月,月,日,月,月,月,月,周,月,周,月,月,月,月,月,日,月,月,月,季,年,季,季,月,季,月,月,月,月,月,月,月
单位,,2014年12月29日=100,2015年01月=100,%,平方米,套,,2004年5月=100,%,万平方米,平方米,万平方米,万平方米,2004年5月=100,2014年12月29日=100,2015年01月=100,%,平方米,套,,2004年5月=100,%,万平方米,平方米,万平方米,万平方米,,2014年12月29日=100,2015年01月=100,%,平方米,套,,2004年5月=100,%,平方米,平方米,万平方米,万平方米,,2014年12月29日=100,2015年01月=100,%,万平方米,宗,,2004年5月=100,%,平方米,万平方米,万平方米,万平方米,%,%,%,%,%,%,,,,%,%,%,%
来源,中原地产,根据新闻整理,根据新闻整理,中原地产,北京市住房和城乡建设委员会,北京市住房和城乡建设委员会,北京市住房和城乡建设委员会,中原地产,中原地产,北京市住房和城乡建设委员会,Wind,Wind,Wind,中原地产,根据新闻整理,根据新闻整理,中原地产,上海市房屋管理局,上海市房屋管理局,上海市房屋管理局,中原地产,中原地产,上海市房屋管理局,Wind,Wind,Wind,中原地产,根据新闻整理,根据新闻整理,中原地产,深圳市住房和建设局,深圳市住房和建设局,深圳市住房和建设局,中原地产,中原地产,深圳市住房和建设局,Wind,Wind,Wind,中原地产,根据新闻整理,根据新闻整理,中原地产,广州市住房和城乡建设局,广州市住房和城乡建设局,广州市住房和城乡建设局,中原地产,中原地产,广州市住房和城乡建设局,广州市住房和城乡建设局,Wind,Wind,上海市统计局,深圳市统计局,广州市统计局,北京市统计局,中国人民银行,中国人民银行,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局
2010-01-01,,,,,,,,,,1233.1798,,,,,,,,,,,,,482.01,,,,,,,,,,,,,2094568.3,,,,,,,,,,,,,4201654,,,,,,,,,,,,,,,,
2010-01-02,,,,,,,,,,1252.7518,,,,,,,,,,,,,481.04,,,,,,,,,,,,,2089498.95,,,,,,,,,,,,,4189421,,,,,,,,,,,,,,,,
2010-01-03,,,,,444942,4433,100.37040378975863,,,1251.6077,,,,,,,,,,,,,479.63,,,,,,,,,,,,,2085294.75,,,,,,,,,,,,,4175024,,,,,,,,,,,,,,,,
2010-01-04,,,,,,,,,,1249.5657,,,,,,,,,,,,,477.63,,,,,,,,,,,,,2108558.65,,,,,,,,,,,,,4157640,,,,,,,,,,,,,,,,
2010-01-05,,,,,,,,,,1243.5158,,,,,,,,,,,,,480.25,,,,,,,,,,,,,2107274.4,,,,,,,,,,,,,4113110,,,,,,,,,,,,,,,,
2010-01-06,,,,,,,,,,1238.7508,,,,,,,,,,,,,478.89,,,,,,,,,,,,,2094184.95,,,,,,,,,,,,,4085434,,,,,,,,,,,,,,,,
2010-01-07,,,,,,,,,,1235.0606,,,,,,,,,,,,,484.25,,,,,,,,,,,,,2122260.8,,,,,,,,,,,,,4085434,,,,,,,,,,,,,,,,
2010-01-08,,,,,,,,,,1229.4588,,,,,,,,,,,,,488.36,,,,,,,,,,,,,2125218.15,,,,,,,,,,,,,4085434,,,,,,,,,,,,,,,,
2010-01-09,,,,,,,,,,1236.5071,,,,,,,,,,,,,488.36,,,,,,,,,,,,,2115640.45,,,,,,,,,,,,,4085434,,,,,,,,,,,,,,,,
2010-01-10,,,,,209804,2239,93.70433229120142,,,,,,,,,,,,,,,,483.46,,,,,,,,,,,,,2104137.2,,,,,,,,,,,,,4085434,,,,,,,,,,,,,,,,
2010-01-11,,,,,,,,,,1232.5394,,,,,,,,,,,,,482.22,,,,,,,,,,,,,2075041.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-12,,,,,,,,,,1230.4109,,,,,,,,,,,,,488.11,,,,,,,,,,,,,2062743.1,,,,,,,,,,,,,3953379,,,,,,,,,,,,,,,,
2010-01-13,,,,,,,,,,1228.3783,,,,,,,,,,,,,486.53,,,,,,,,,,,,,2043672.95,,,,,,,,,,,,,3931145,,,,,,,,,,,,,,,,
2010-01-14,,,,,,,,,,1238.7723,,,,,,,,,,,,,485.37,,,,,,,,,,,,,2058081.85,,,,,,,,,,,,,3922267,,,,,,,,,,,,,,,,
2010-01-15,,,,,,,,,,1237.2718,,,,,,,,,,,,,486.94,,,,,,,,,,,,,2058058.2,,,,,,,,,,,,,3952879,,,,,,,,,,,,,,,,
2010-01-16,,,,,,,,,,,,,,,,,,,,,,,487.79,,,,,,,,,,,,,2047137.52,,,,,,,,,,,,,3927534,,,,,,,,,,,,,,,,
2010-01-17,,,,,279011,3045,91.62922824302134,,,1236.6694,,,,,,,,,,,,,485.77,,,,,,,,,,,,,2042904.6,,,,,,,,,,,,,3927534,,,,,,,,,,,,,,,,
2010-01-18,,,,,,,,,,1229.0308,,,,,,,,,,,,,484.01,,,,,,,,,,,,,2084320.15,,,,,,,,,,,,,3907806,,,,,,,,,,,,,,,,
2010-01-19,,,,,,,,,,1224.7291,,,,,,,,,,,,,487.53,,,,,,,,,,,,,2095825.05,,,,,,,,,,,,,3938500,,,,,,,,,,,,,,,,
2010-01-20,,,,,,,,,,1215.7035,,,,,,,,,,,,,485.17,,,,,,,,,,,,,2083140.95,,,,,,,,,,,,,3880442,,,,,,,,,,,,,,,,
2010-01-21,,,,,,,,,,1211.9715,,,,,,,,,,,,,485.48,,,,,,,,,,,,,2070256.1,,,,,,,,,,,,,3856677,,,,,,,,,,,,,,,,
2010-01-22,,,,,,,,,,1228.8246,,,,,,,,,,,,,488,,,,,,,,,,,,,2062485.15,,,,,,,,,,,,,3870078,,,,,,,,,,,,,,,,
2010-01-23,,,,,,,,,,1246.8824,,,,,,,,,,,,,490.32,,,,,,,,,,,,,2057019.8,,,,,,,,,,,,,3844401,,,,,,,,,,,,,,,,
2010-01-24,,,,,323551,3526,91.76148610323312,,,1244.9477,,,,,,,,,,,,,490.49,,,,,,,,,,,,,2054162.55,,,,,,,,,,,,,3839305,,,,,,,,,,,,,,,,
2010-01-25,,,,,,,,,,1241.8196,,,,,,,,,,,,,485.37,,,,,,,,,,,,,2049259.3,,,,,,,,,,,,,3825224,,,,,,,,,,,,,,,,
2010-01-26,,,,,,,,,,1236.0548,,,,,,,,,,,,,481.89,,,,,,,,,,,,,2043591,,,,,,,,,,,,,3817334,,,,,,,,,,,,,,,,
2010-01-27,,,,,,,,,,1245.9296,,,,,,,,,,,,,483.17,,,,,,,,,,,,,2037324.85,,,,,,,,,,,,,3789327,,,,,,,,,,,,,,,,
2010-01-28,,,,,,,,,,1244.2536,,,,,,,,,,,,,483.2,,,,,,,,,,,,,2031426.65,,,,,,,,,,,,,3855889,,,,,,,,,,,,,,,,
2010-01-29,,,,,,,,,,1236.394,,,,,,,,,,,,,480.18,,,,,,,,,,,,,2024992.75,,,,,,,,,,,,,4115276,,,,,,,,,,,,,,,,
2010-01-30,,,,,,,,,,1252.5756,,,,,,,,,,,,,477.66,,,,,,,,,,,,,2019037.35,,,,,,,,,,,,,4098590,,,,,,,,,,,,,,,,
2010-01-31,349,,,,347716,3858,90.12856402280974,129.6,2.49,1251.0968,,326.5059,67.3035,229.1584,,,,,,,125.19,2.25,476.19,,57.0608,223.7627,311.689,,,,,,,118.69,2.68,2016661.35,,44.1065,0,258.8403,,,,109.2121,,,112.83,3.28,4086992,63.95,6.0097,0,,,,,3.87,,,,104.60000000000001,1.5,0.6,2.9,
2010-02-01,,,,,,,,,,1245.2771,,,,,,,,,,,,,474.51,,,,,,,,,,,,,2008828.25,,,,,,,,,,,,,4088960,,,,,,,,,,,,,,,,
2010-02-02,,,,,,,,,,1235.023,,,,,,,,,,,,,473.43,,,,,,,,,,,,,2007714.5,,,,,,,,,,,,,4128559,,,,,,,,,,,,,,,,
2010-02-03,,,,,,,,,,1240.8982,,,,,,,,,,,,,478.59,,,,,,,,,,,,,1999605.3,,,,,,,,,,,,,4117856,,,,,,,,,,,,,,,,
2010-02-04,,,,,,,,,,1237.6093,,,,,,,,,,,,,479.98,,,,,,,,,,,,,2023843.25,,,,,,,,,,,,,4160366,,,,,,,,,,,,,,,,
2010-02-05,,,,,,,,,,1233.1407,,,,,,,,,,,,,484.4,,,,,,,,,,,,,2006533.65,,,,,,,,,,,,,4215281,,,,,,,,,,,,,,,,
2010-02-06,,,,,,,,,,1232.0292,,,,,,,,,,,,,481.25,,,,,,,,,,,,,2001616.65,,,,,,,,,,,,,4196104,,,,,,,,,,,,,,,,
2010-02-07,,,,,305864,3364,90.92271105826397,,,1234.3408,,,,,,,,,,,,,479.27,,,,,,,,,,,,,1999510.7,,,,,,,,,,,,,4180711,,,,,,,,,,,,,,,,
2010-02-08,,,,,,,,,,1228.8889,,,,,,,,,,,,,477.89,,,,,,,,,,,,,1973512.75,,,,,,,,,,,,,4195075,,,,,,,,,,,,,,,,
2010-02-09,,,,,,,,,,1222.9693,,,,,,,,,,,,,479.01,,,,,,,,,,,,,1969464.2,,,,,,,,,,,,,4179682,,,,,,,,,,,,,,,,
2010-02-10,,,,,,,,,,1218.7811,,,,,,,,,,,,,477.82,,,,,,,,,,,,,1969774.95,,,,,,,,,,,,,4192357,,,,,,,,,,,,,,,,
2010-02-11,,,,,,,,,,1216.3469,,,,,,,,,,,,,477.86,,,,,,,,,,,,,1967947.85,,,,,,,,,,,,,4178059,,,,,,,,,,,,,,,,
2010-02-12,,,,,,,,,,1215.7867,,,,,,,,,,,,,477.87,,,,,,,,,,,,,1967658,,,,,,,,,,,,,4179456,,,,,,,,,,,,,,,,
2010-02-13,,,,,,,,,,,,,,,,,,,,,,,477.81,,,,,,,,,,,,,1967658,,,,,,,,,,,,,4178586,,,,,,,,,,,,,,,,
2010-02-14,,,,,147466,1583,93.15603284902085,,,,,,,,,,,,,,,,477.81,,,,,,,,,,,,,1967658,,,,,,,,,,,,,4178453,,,,,,,,,,,,,,,,
2010-02-15,,,,,,,,,,,,,,,,,,,,,,,477.83,,,,,,,,,,,,,,,,,,,,,,,,,,4178453,,,,,,,,,,,,,,,,
2010-02-16,,,,,,,,,,,,,,,,,,,,,,,477.87,,,,,,,,,,,,,1965651.05,,,,,,,,,,,,,4177680,,,,,,,,,,,,,,,,
2010-02-17,,,,,,,,,,,,,,,,,,,,,,,477.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967658,,,,,,,,,,,,,4177012,,,,,,,,,,,,,,,,
2010-02-19,,,,,,,,,,,,,,,,,,,,,,,476.96,,,,,,,,,,,,,1916318.25,,,,,,,,,,,,,4176432,,,,,,,,,,,,,,,,
2010-02-20,,,,,,,,,,1216.8421,,,,,,,,,,,,,476.35,,,,,,,,,,,,,,,,,,,,,,,,,,4171935,,,,,,,,,,,,,,,,
2010-02-21,,,,,41080,471,87.21868365180467,,,1215.624,,,,,,,,,,,,,476.05,,,,,,,,,,,,,1902352.1,,,,,,,,,,,,,4161887,,,,,,,,,,,,,,,,
2010-02-22,,,,,,,,,,1214.8678,,,,,,,,,,,,,475.16,,,,,,,,,,,,,1898596.7,,,,,,,,,,,,,4141546,,,,,,,,,,,,,,,,
2010-02-23,,,,,,,,,,1214.29,,,,,,,,,,,,,474.46,,,,,,,,,,,,,1895602.5,,,,,,,,,,,,,4111646,,,,,,,,,,,,,,,,
2010-02-24,,,,,,,,,,1212.5375,,,,,,,,,,,,,474.07,,,,,,,,,,,,,1894178.55,,,,,,,,,,,,,4096011,,,,,,,,,,,,,,,,
2010-02-25,,,,,,,,,,1209.8236,,,,,,,,,,,,,472.97,,,,,,,,,,,,,1891692.55,,,,,,,,,,,,,4096014,,,,,,,,,,,,,,,,
2010-02-26,,,,,,,,,,1209.6158,,,,,,,,,,,,,473.58,,,,,,,,,,,,,1932747.85,,,,,,,,,,,,,4104487,,,,,,,,,,,,,,,,
2010-02-27,,,,,,,,,,1208.5941,,,,,,,,,,,,,472.7,,,,,,,,,,,,,1885626.6,,,,,,,,,,,,,4082389,,,,,,,,,,,,,,,,
2010-02-28,355,,,,279888,3126,89.53550863723608,131.27,2.54,1207.3525,,49.4994,104.6961,229.4613,,,,,,,125.53,2.25,470.44,,41.065,270.8752,307.7603,,,,,,,118.39,2.71,1882117.6,,0,0,256.9755,,,,66.05,,,113.19,3.31,4066919,33.12,11.6673,0,,,,,3.87,,,,104.5,2.7,1.2,2.8,
2010-03-01,,,,,,,,,,1205.7374,,,,,,,,,,,,,464.22,,,,,,,,,,,,,1927849.55,,,,,,,,,,,,,4047835,,,,,,,,,,,,,,,,
2010-03-02,,,,,,,,,,1203.5236,,,,,,,,,,,,,462.41,,,,,,,,,,,,,1923853.25,,,,,,,,,,,,,4026175,,,,,,,,,,,,,,,,
2010-03-03,,,,,,,,,,1202.461,,,,,,,,,,,,,460.74,,,,,,,,,,,,,1911905.6,,,,,,,,,,,,,4012880,,,,,,,,,,,,,,,,
2010-03-04,,,,,,,,,,1206.0067,,,,,,,,,,,,,459.24,,,,,,,,,,,,,1911561.85,,,,,,,,,,,,,4011035,,,,,,,,,,,,,,,,
2010-03-05,,,,,,,,,,1204.4701,,,,,,,,,,,,,462.45,,,,,,,,,,,,,1963711.2,,,,,,,,,,,,,4032111,,,,,,,,,,,,,,,,
2010-03-06,,,,,,,,,,1202.0648,,,,,,,,,,,,,461.03,,,,,,,,,,,,,1960263.25,,,,,,,,,,,,,4009557,,,,,,,,,,,,,,,,
2010-03-07,,,,,297774,3373,88.2816483842277,,,1208.4934,,,,,,,,,,,,,460.21,,,,,,,,,,,,,1957748.1,,,,,,,,,,,,,3995059,,,,,,,,,,,,,,,,
2010-03-08,,,,,,,,,,1206.9118,,,,,,,,,,,,,459.13,,,,,,,,,,,,,1961040.95,,,,,,,,,,,,,3976440,,,,,,,,,,,,,,,,
2010-03-09,,,,,,,,,,1205.0851,,,,,,,,,,,,,462.79,,,,,,,,,,,,,1956673.4,,,,,,,,,,,,,3935734,,,,,,,,,,,,,,,,
2010-03-10,,,,,,,,,,1202.231,,,,,,,,,,,,,465.38,,,,,,,,,,,,,1948797.95,,,,,,,,,,,,,3933598,,,,,,,,,,,,,,,,
2010-03-11,,,,,,,,,,1206.0622,,,,,,,,,,,,,464.58,,,,,,,,,,,,,1925372.35,,,,,,,,,,,,,3928497,,,,,,,,,,,,,,,,
2010-03-12,,,,,,,,,,1208.1932,,,,,,,,,,,,,473.94,,,,,,,,,,,,,1922173.55,,,,,,,,,,,,,3930400,,,,,,,,,,,,,,,,
2010-03-13,,,,,,,,,,1205.075,,,,,,,,,,,,,471.54,,,,,,,,,,,,,1917358.85,,,,,,,,,,,,,3914656,,,,,,,,,,,,,,,,
2010-03-14,,,,,377449,4236,89.10505193578848,,,1209.9153,,,,,,,,,,,,,470.58,,,,,,,,,,,,,1915016.95,,,,,,,,,,,,,3906446,,,,,,,,,,,,,,,,
2010-03-15,,,,,,,,,,1206.8506,,,,,,,,,,,,,469.6,,,,,,,,,,,,,1908239.3,,,,,,,,,,,,,3918058,,,,,,,,,,,,,,,,
2010-03-16,,,,,,,,,,1201.3489,,,,,,,,,,,,,474.78,,,,,,,,,,,,,1926923.35,,,,,,,,,,,,,3882204,,,,,,,,,,,,,,,,
2010-03-17,,,,,,,,,,1207.4851,,,,,,,,,,,,,474.43,,,,,,,,,,,,,1930739.8,,,,,,,,,,,,,3883442,,,,,,,,,,,,,,,,
2010-03-18,,,,,,,,,,1206.3788,,,,,,,,,,,,,472.16,,,,,,,,,,,,,1930256.35,,,,,,,,,,,,,3897400,,,,,,,,,,,,,,,,
2010-03-19,,,,,,,,,,1211.4777,,,,,,,,,,,,,479.37,,,,,,,,,,,,,1932864.45,,,,,,,,,,,,,3907768,,,,,,,,,,,,,,,,
2010-03-20,,,,,,,,,,1206.947,,,,,,,,,,,,,478.04,,,,,,,,,,,,,1929008.4,,,,,,,,,,,,,3876022,,,,,,,,,,,,,,,,
2010-03-21,,,,,470982,5357,87.9189845062535,,,1203.3163,,,,,,,,,,,,,474.8,,,,,,,,,,,,,1924734.9,,,,,,,,,,,,,3862110,,,,,,,,,,,,,,,,
2010-03-22,,,,,,,,,,1198.597,,,,,,,,,,,,,472.27,,,,,,,,,,,,,1922831.35,,,,,,,,,,,,,3844431,,,,,,,,,,,,,,,,
2010-03-23,,,,,,,,,,1192.4667,,,,,,,,,,,,,494.34,,,,,,,,,,,,,1923737.2,,,,,,,,,,,,,3835145,,,,,,,,,,,,,,,,
2010-03-24,,,,,,,,,,1192.3727,,,,,,,,,,,,,492.86,,,,,,,,,,,,,1921528.4,,,,,,,,,,,,,3858990,,,,,,,,,,,,,,,,
2010-03-25,,,,,,,,,,1188.5129,,,,,,,,,,,,,487.21,,,,,,,,,,,,,1914387.2,,,,,,,,,,,,,3827199,,,,,,,,,,,,,,,,
2010-03-26,,,,,,,,,,1182.0078,,,,,,,,,,,,,486.44,,,,,,,,,,,,,1918738.25,,,,,,,,,,,,,3826914,,,,,,,,,,,,,,,,
2010-03-27,,,,,,,,,,1198.5872,,,,,,,,,,,,,483.41,,,,,,,,,,,,,1911720.25,,,,,,,,,,,,,3798239,,,,,,,,,,,,,,,,
2010-03-28,,,,,593066,6733,88.08346947868706,,,1213.2552,,,,,,,,,,,,,483.5,,,,,,,,,,,,,1906597.55,,,,,,,,,,,,,3780095,,,,,,,,,,,,,,,,
2010-03-29,,,,,,,,,,1208.0306,,,,,,,,,,,,,478.87,,,,,,,,,,,,,1905523.4,,,,,,,,,,,,,3781604,,,,,,,,,,,,,,,,
2010-03-30,,,,,,,,,,1205.8412,,,,,,,,,,,,,479.84,,,,,,,,,,,,,1894275.35,,,,,,,,,,,,,3782669,,,,,,,,,,,,,,,,
2010-03-31,381,,,,,,,137.69,2.53,1199.8459,,0,136.8792,234.1384,,,,,,,127.06,2.23,475.1,,107.6205,14.3797,315.7934,,,,,,,117.4,2.62,1923010.65,,0,44.1065,263.1402,,,,50.1727,,,113.25,3.24,3737079,36.28,0,17.677,,,10.4,,3.87,4.63,,,108.19999999999999,2.4,-0.7,2.9,
2010-04-01,,,,,,,,,,1192.4365,,,,,,,,,,,,,473.13,,,,,,,,,,,,,1915938.75,,,,,,,,,,,,,3721784,,,,,,,,,,,,,,,,
2010-04-02,,,,,,,,,,1194.1306,,,,,,,,,,,,,474.24,,,,,,,,,,,,,1923551.85,,,,,,,,,,,,,3676315,,,,,,,,,,,,,,,,
2010-04-03,,,,,,,,,,1198.1677,,,,,,,,,,,,,477.56,,,,,,,,,,,,,1918630.45,,,,,,,,,,,,,3658602,,,,,,,,,,,,,,,,
2010-04-04,,,,,731888,8486,86.24652368607117,,,1193.9084,,,,,,,,,,,,,470.92,,,,,,,,,,,,,1913266.85,,,,,,,,,,,,,3649018,,,,,,,,,,,,,,,,
2010-04-05,,,,,,,,,,1191.6773,,,,,,,,,,,,,468.96,,,,,,,,,,,,,1909747.4,,,,,,,,,,,,,3643887,,,,,,,,,,,,,,,,
2010-04-06,,,,,,,,,,1186.1848,,,,,,,,,,,,,465.83,,,,,,,,,,,,,1901867.55,,,,,,,,,,,,,3632919,,,,,,,,,,,,,,,,
2010-04-07,,,,,,,,,,1181.72,,,,,,,,,,,,,465.44,,,,,,,,,,,,,1890056.85,,,,,,,,,,,,,3632919,,,,,,,,,,,,,,,,
2010-04-08,,,,,,,,,,1177.0707,,,,,,,,,,,,,470.66,,,,,,,,,,,,,1877720.35,,,,,,,,,,,,,3599517,,,,,,,,,,,,,,,,
2010-04-09,,,,,,,,,,1169.9603,,,,,,,,,,,,,467.3,,,,,,,,,,,,,1867491.45,,,,,,,,,,,,,3580351,,,,,,,,,,,,,,,,
2010-04-10,,,,,,,,,,1168.4408,,,,,,,,,,,,,478.94,,,,,,,,,,,,,1857964.9,,,,,,,,,,,,,3556675,,,,,,,,,,,,,,,,
2010-04-11,,,,,565157,6337,89.183683130819,,,1163.7952,,,,,,,,,,,,,475.37,,,,,,,,,,,,,1846078.3,,,,,,,,,,,,,3543926,,,,,,,,,,,,,,,,
2010-04-12,,,,,,,,,,1158.9316,,,,,,,,,,,,,472.57,,,,,,,,,,,,,1838150.6,,,,,,,,,,,,,3536010,,,,,,,,,,,,,,,,
2010-04-13,,,,,,,,,,1153.8148,,,,,,,,,,,,,474.33,,,,,,,,,,,,,1839783.12,,,,,,,,,,,,,3525993,,,,,,,,,,,,,,,,
2010-04-14,,,,,,,,,,1153.1579,,,,,,,,,,,,,470.1,,,,,,,,,,,,,1830967.84,,,,,,,,,,,,,3536606,,,,,,,,,,,,,,,,
2010-04-15,,,,,,,,,,1160.2287,,,,,,,,,,,,,470.07,,,,,,,,,,,,,1820539.16,,,,,,,,,,,,,3521184,,,,,,,,,,,,,,,,
2010-04-16,,,,,,,,,,1162.3777,,,,,,,,,,,,,474.48,,,,,,,,,,,,,1792260.17,,,,,,,,,,,,,3608406,,,,,,,,,,,,,,,,
2010-04-17,,,,,,,,,,1156.7154,,,,,,,,,,,,,479.95,,,,,,,,,,,,,1778306.12,,,,,,,,,,,,,3590122,,,,,,,,,,,,,,,,
2010-04-18,,,,,877633,9904,88.61399434571891,,,1170.5024,,,,,,,,,,,,,475.92,,,,,,,,232790.41,2795,83.28816100178891,,,1769024.12,,,,,,,,,,,,,3568661,,,,,,,,,,,,,,,,
2010-04-19,,,,,,,,,,1172.1564,,,,,,,,,,,,,473.4,,,,,,,,,,,,,1882082.23,,,,,,,,,,,,,3594898,,,,,,,,,,,,,,,,
2010-04-20,,,,,,,,,,1168.4932,,,,,,,,,,,,,475.18,,,,,,,,,,,,,1915476.98,,,,,,,,,,,,,3692844,,,,,,,,,,,,,,,,
2010-04-21,,,,,,,,,,1165.5722,,,,,,,,,,,,,481.94,,,,,,,,,,,,,1909452.71,,,,,,,,,,,,,3673230,,,,,,,,,,,,,,,,
2010-04-22,,,,,,,,,,1161.1595,,,,,,,,,,,,,487.69,,,,,,,,,,,,,1929934.96,,,,,,,,,,,,,3658304,,,,,,,,,,,,,,,,
2010-04-23,,,,,,,,,,1158.1952,,,,,,,,,,,,,494.91,,,,,,,,,,,,,1925360.3,,,,,,,,,,,,,3768857,,,,,,,,,,,,,,,,
2010-04-24,,,,,,,,,,1165.0122,,,,,,,,,,,,,508.12,,,,,,,,,,,,,1921737.38,,,,,,,,,,,,,3749958,,,,,,,,,,,,,,,,
2010-04-25,,,,,626314,6823,91.79451854023156,,,1166.5584,,,,,,,,,,,,,506.98,,,,,,,,279861.13,3393,82.48191276156794,,,1919911.93,,,,,,,,,,,,,3737820,,,,,,,,,,,,,,,,
2010-04-26,,,,,,,,,,1163.422,,,,,,,,,,,,,506.18,,,,,,,,,,,,,1916729.3,,,,,,,,,,,,,3777344,,,,,,,,,,,,,,,,
2010-04-27,,,,,,,,,,1160.7487,,,,,,,,,,,,,511.59,,,,,,,,,,,,,1990881.83,,,,,,,,,,,,,3760804,,,,,,,,,,,,,,,,
2010-04-28,,,,,,,,,,1177.2359,,,,,,,,,,,,,515.17,,,,,,,,,,,,,2121037.43,,,,,,,,,,,,,3795949,,,,,,,,,,,,,,,,
2010-04-29,,,,,,,,,,1174.8518,,,,,,,,,,,,,509.85,,,,,,,,,,,,,2163160.4,,,,,,,,,,,,,4136392,,,,,,,,,,,,,,,,
2010-04-30,404,,,,,,,137.57,2.5,1179.1605,,234.1042,0,242.8014,,,,,,,127.14,2.15,518.22,,29.5164,41.4998,328.0308,,,,,,,118.52,2.55,2182735.63,,0,0,273.3582,,,,64.4978,,,113.45,3.12,4251781,28.36,3.1713,0,,,,,3.87,,,,106.8,2.8,0.2,3.4,
2010-05-01,,,,,,,,,,1192.4916,,,,,,,,,,,,,516.55,,,,,,,,,,,,,2180601.24,,,,,,,,,,,,,4239007,,,,,,,,,,,,,,,,
2010-05-02,,,,,856915,7814,109.66406449961607,,,1181.2451,,,,,,,,,,,,,515.67,,,,,,,,298843.1,3569,83.73300644438218,,,2155512.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-03,,,,,,,,,,1179.0054,,,,,,,,,,,,,516.07,,,,,,,,,,,,,2153357.33,,,,,,,,,,,,,4221633,,,,,,,,,,,,,,,,
2010-05-04,,,,,,,,,,1174.9599,,,,,,,,,,,,,515.87,,,,,,,,,,,,,2148864.41,,,,,,,,,,,,,4205841,,,,,,,,,,,,,,,,
2010-05-05,,,,,,,,,,1172.9081,,,,,,,,,,,,,514.53,,,,,,,,,,,,,2143726.83,,,,,,,,,,,,,4185778,,,,,,,,,,,,,,,,
2010-05-06,,,,,,,,,,1171.3147,,,,,,,,,,,,,523.25,,,,,,,,,,,,,2138935.48,,,,,,,,,,,,,4162733,,,,,,,,,,,,,,,,
2010-05-07,,,,,,,,,,1173.1772,,,,,,,,,,,,,527.03,,,,,,,,,,,,,2166523.98,,,,,,,,,,,,,4123882,,,,,,,,,,,,,,,,
2010-05-08,,,,,,,,,,1181.1537,,,,,,,,,,,,,533.22,,,,,,,,,,,,,2157909.15,,,,,,,,,,,,,4105805,,,,,,,,,,,,,,,,
2010-05-09,,,,,397831,3751,106.05998400426553,,,1184.1325,,,,,,,,,,,,,532.31,,,,,,,,180533.08,2252,80.16566607460035,,,2156494.39,,,,,,,,,,,,,4093301,,,,,,,,,,,,,,,,
